LoanID,CustomerID,LoanType,LoanAmount,LoanTermMonths,InterestRate,DisbursementDate,ApprovalTimeDays
LOAN004184,CUST03361,Green Energy Loan,257482,20,0.07,2019-01-21,8
LOAN004185,CUST02577,Additional Loan,336079,34,0.1,2024-06-01,10
LOAN004186,CUST00883,Jipange Loan,98271,34,0.08,2024-05-17,1
LOAN004187,CUST04376,Boda Boda Loan,324686,45,0.12,2019-10-30,8
LOAN004188,CUST04273,Boda Boda Loan,727627,20,0.12,2020-09-15,13
LOAN004189,CUST00746,Special Advance,72493,3,0.06,2022-12-30,1
LOAN004190,CUST01601,Jipange Loan,301914,28,0.08,2020-11-10,14
LOAN004191,CUST03454,Special Advance,41327,9,0.06,2021-11-27,1
LOAN004192,CUST02129,Special Advance,43055,7,0.06,2022-02-17,2
LOAN004193,CUST04109,Avocado Loan,548064,27,0.11,2021-06-27,11
LOAN004194,CUST00444,Salary Advance,62237,4,0.05,2023-10-06,1
LOAN004195,CUST00138,Salary Advance,89445,7,0.05,2021-06-11,3
LOAN004196,CUST02439,Normal Loan,953321,53,0.1,2020-11-09,14
LOAN004197,CUST04028,Normal Loan,200913,60,0.1,2023-08-07,8
LOAN004198,CUST00831,Special Advance,42061,4,0.06,2021-06-25,1
LOAN004199,CUST01504,Additional Loan,228322,36,0.1,2023-09-23,10
LOAN004200,CUST04053,Normal Loan,933485,18,0.1,2023-08-18,13
LOAN004201,CUST04551,Maziwa Loan,233845,22,0.09,2021-08-25,13
LOAN004202,CUST04646,Boda Boda Loan,141131,13,0.12,2023-05-04,10
LOAN004203,CUST00488,Special Advance,20806,5,0.06,2020-09-18,3
LOAN004204,CUST00368,Green Energy Loan,24766,16,0.07,2019-01-26,1
LOAN004205,CUST03770,Green Energy Loan,186888,19,0.07,2021-12-25,12
LOAN004206,CUST01193,Avocado Loan,405741,24,0.11,2023-10-08,13
LOAN004207,CUST04269,Avocado Loan,429904,43,0.11,2020-01-04,14
LOAN004208,CUST01243,Salary Advance,70118,8,0.05,2019-05-22,1
LOAN004209,CUST00588,Boda Boda Loan,549725,31,0.12,2020-06-14,12
LOAN004210,CUST01615,Special Advance,66729,8,0.06,2020-03-13,2
LOAN004211,CUST03210,Additional Loan,59534,24,0.1,2022-07-13,3
LOAN004212,CUST00238,Boda Boda Loan,667252,24,0.12,2023-08-08,7
LOAN004213,CUST03674,Additional Loan,413445,28,0.1,2021-06-04,13
LOAN004214,CUST02961,Emergency Loan,13014,7,0.09,2020-12-27,2
LOAN004215,CUST03786,Salary Advance,78640,12,0.05,2022-12-22,1
LOAN004216,CUST01341,Emergency Loan,24017,4,0.09,2022-09-20,3
LOAN004217,CUST02449,Emergency Loan,27334,8,0.09,2023-03-19,2
LOAN004218,CUST04612,Green Energy Loan,98761,7,0.07,2024-12-08,1
LOAN004219,CUST00857,Boda Boda Loan,371685,36,0.12,2023-10-19,11
LOAN004220,CUST03812,Normal Loan,604911,55,0.1,2023-07-29,9
LOAN004221,CUST00735,Maziwa Loan,196701,36,0.09,2024-10-16,10
LOAN004222,CUST04509,Special Advance,51184,11,0.06,2022-09-01,3
LOAN004223,CUST02377,Maziwa Loan,384517,18,0.09,2019-10-19,8
LOAN004224,CUST03009,Normal Loan,336175,33,0.1,2023-05-03,13
LOAN004225,CUST02179,Maziwa Loan,141436,16,0.09,2022-05-01,7
LOAN004226,CUST01796,Avocado Loan,792386,50,0.11,2022-12-28,13
LOAN004227,CUST03347,Special Advance,33625,3,0.06,2022-07-10,1
LOAN004228,CUST01961,Seasonal Advance,342645,6,0.08,2022-07-28,14
LOAN004229,CUST00662,Avocado Loan,625070,60,0.11,2019-07-27,8
LOAN004230,CUST04467,Salary Advance,16003,5,0.05,2021-12-11,3
LOAN004231,CUST00456,Normal Loan,120672,37,0.1,2021-01-09,14
LOAN004232,CUST00025,Seasonal Advance,467267,8,0.08,2021-07-07,7
LOAN004233,CUST01018,Additional Loan,430040,7,0.1,2023-01-05,14
LOAN004234,CUST01412,Avocado Loan,865090,29,0.11,2019-03-21,8
LOAN004235,CUST03053,Seasonal Advance,21503,23,0.08,2023-06-06,1
LOAN004236,CUST00309,Maziwa Loan,98891,7,0.09,2023-10-23,2
LOAN004237,CUST02227,Additional Loan,155019,35,0.1,2023-03-17,13
LOAN004238,CUST02254,Green Energy Loan,291030,21,0.07,2022-01-25,12
LOAN004239,CUST00005,Normal Loan,166756,46,0.1,2024-05-28,7
LOAN004240,CUST03378,Additional Loan,32008,32,0.1,2022-11-28,1
LOAN004241,CUST04274,Maziwa Loan,160510,21,0.09,2024-07-29,8
LOAN004242,CUST00315,Green Energy Loan,265197,21,0.07,2020-05-03,14
LOAN004243,CUST00917,Boda Boda Loan,640111,13,0.12,2020-03-16,9
LOAN004244,CUST02895,Special Advance,31996,8,0.06,2021-09-23,1
LOAN004245,CUST01687,Normal Loan,411716,28,0.1,2019-07-05,9
LOAN004246,CUST01617,Maziwa Loan,106177,12,0.09,2023-01-19,14
LOAN004247,CUST04088,Normal Loan,218726,44,0.1,2022-02-18,12
LOAN004248,CUST02354,Green Energy Loan,171620,10,0.07,2023-10-17,8
LOAN004249,CUST00310,Special Advance,76170,12,0.06,2022-07-27,1
LOAN004250,CUST03984,Avocado Loan,685445,32,0.11,2023-06-21,7
LOAN004251,CUST04358,Additional Loan,331369,15,0.1,2020-07-07,13
LOAN004252,CUST04534,Seasonal Advance,443836,8,0.08,2024-09-06,14
LOAN004253,CUST04618,Boda Boda Loan,435593,55,0.12,2021-09-06,12
LOAN004254,CUST03190,Boda Boda Loan,153516,46,0.12,2023-10-04,9
LOAN004255,CUST01420,Additional Loan,36999,7,0.1,2021-10-03,3
LOAN004256,CUST00230,Green Energy Loan,292871,21,0.07,2024-06-17,13
LOAN004257,CUST00334,Emergency Loan,15495,3,0.09,2019-12-20,2
LOAN004258,CUST01329,Green Energy Loan,294291,6,0.07,2021-09-05,12
LOAN004259,CUST00299,Additional Loan,442531,15,0.1,2020-02-07,10
LOAN004260,CUST03687,Salary Advance,20996,12,0.05,2023-09-16,3
LOAN004261,CUST02061,Special Advance,23297,3,0.06,2022-09-02,3
LOAN004262,CUST04797,Salary Advance,40589,8,0.05,2024-10-02,3
LOAN004263,CUST00383,Normal Loan,890876,36,0.1,2020-09-09,14
LOAN004264,CUST04271,Normal Loan,309230,53,0.1,2019-10-22,12
LOAN004265,CUST02451,Emergency Loan,33112,6,0.09,2019-07-13,2
LOAN004266,CUST04739,Boda Boda Loan,311760,55,0.12,2022-01-31,12
LOAN004267,CUST01656,Maziwa Loan,48594,10,0.09,2019-09-07,3
LOAN004268,CUST04776,Seasonal Advance,392107,19,0.08,2021-08-13,8
LOAN004269,CUST00268,Additional Loan,206198,13,0.1,2019-08-26,9
LOAN004270,CUST02719,Salary Advance,95640,12,0.05,2021-03-20,1
LOAN004271,CUST00675,Jipange Loan,120640,30,0.08,2023-07-12,10
LOAN004272,CUST04436,Maziwa Loan,333061,19,0.09,2020-06-04,13
LOAN004273,CUST04060,Special Advance,68486,9,0.06,2022-01-19,2
LOAN004274,CUST01051,Normal Loan,718370,36,0.1,2022-02-13,11
LOAN004275,CUST03331,Green Energy Loan,421183,27,0.07,2020-07-20,7
LOAN004276,CUST02612,Emergency Loan,43913,5,0.09,2022-05-30,1
LOAN004277,CUST02183,Normal Loan,518426,13,0.1,2023-03-02,14
LOAN004278,CUST03379,Seasonal Advance,397201,14,0.08,2023-11-21,11
LOAN004279,CUST01505,Salary Advance,41961,11,0.05,2022-11-09,3
LOAN004280,CUST03886,Green Energy Loan,388468,25,0.07,2024-10-17,13
LOAN004281,CUST02849,Boda Boda Loan,276427,28,0.12,2022-10-13,14
LOAN004282,CUST01041,Additional Loan,337296,18,0.1,2023-12-15,12
LOAN004283,CUST04724,Maziwa Loan,333411,20,0.09,2022-03-02,12
LOAN004284,CUST03989,Maziwa Loan,135773,6,0.09,2021-01-28,10
LOAN004285,CUST04902,Salary Advance,42707,3,0.05,2024-05-30,2
LOAN004286,CUST01085,Salary Advance,14344,6,0.05,2021-10-27,2
LOAN004287,CUST03386,Salary Advance,15440,12,0.05,2023-08-05,1
LOAN004288,CUST03056,Jipange Loan,174879,6,0.08,2023-01-20,10
LOAN004289,CUST03660,Jipange Loan,149285,15,0.08,2020-12-15,14
LOAN004290,CUST01804,Additional Loan,243830,25,0.1,2024-02-24,8
LOAN004291,CUST02194,Green Energy Loan,186011,27,0.07,2019-09-25,8
LOAN004292,CUST02750,Avocado Loan,451685,23,0.11,2020-06-09,14
LOAN004293,CUST01030,Salary Advance,88441,8,0.05,2024-06-03,3
LOAN004294,CUST03277,Maziwa Loan,136278,19,0.09,2019-01-02,10
LOAN004295,CUST00863,Green Energy Loan,344863,7,0.07,2022-10-18,11
LOAN004296,CUST01274,Jipange Loan,90762,11,0.08,2022-12-03,2
LOAN004297,CUST04528,Normal Loan,293138,34,0.1,2023-05-28,7
LOAN004298,CUST04714,Seasonal Advance,382846,8,0.08,2022-05-02,10
LOAN004299,CUST04875,Avocado Loan,491642,51,0.11,2020-04-08,12
LOAN004300,CUST01441,Special Advance,75558,3,0.06,2019-05-08,1
LOAN004301,CUST04629,Salary Advance,11286,7,0.05,2024-09-13,1
LOAN004302,CUST02048,Normal Loan,716086,48,0.1,2021-01-06,13
LOAN004303,CUST00487,Emergency Loan,39282,4,0.09,2022-09-02,2
LOAN004304,CUST04151,Additional Loan,89826,15,0.1,2019-07-15,2
LOAN004305,CUST02225,Salary Advance,59004,3,0.05,2024-10-16,1
LOAN004306,CUST01772,Jipange Loan,394152,22,0.08,2022-08-15,12
LOAN004307,CUST02543,Maziwa Loan,235910,29,0.09,2021-05-20,9
LOAN004308,CUST03593,Normal Loan,211932,37,0.1,2022-04-27,10
LOAN004309,CUST01887,Salary Advance,21837,5,0.05,2024-10-29,1
LOAN004310,CUST00988,Maziwa Loan,159761,35,0.09,2023-07-21,14
LOAN004311,CUST03461,Boda Boda Loan,861225,24,0.12,2022-09-23,11
LOAN004312,CUST04298,Salary Advance,93425,5,0.05,2024-11-28,3
LOAN004313,CUST04960,Maziwa Loan,79400,35,0.09,2021-03-07,2
LOAN004314,CUST03007,Jipange Loan,418172,19,0.08,2023-08-25,11
LOAN004315,CUST01169,Seasonal Advance,249299,23,0.08,2021-05-15,11
LOAN004316,CUST04277,Seasonal Advance,45608,10,0.08,2021-07-11,2
LOAN004317,CUST02084,Salary Advance,20286,11,0.05,2022-09-07,2
LOAN004318,CUST01060,Green Energy Loan,192822,7,0.07,2019-04-03,13
LOAN004319,CUST00532,Avocado Loan,797306,46,0.11,2022-03-27,7
LOAN004320,CUST03891,Avocado Loan,531858,21,0.11,2019-11-08,13
LOAN004321,CUST01235,Normal Loan,253041,12,0.1,2023-09-03,8
LOAN004322,CUST04566,Avocado Loan,987487,12,0.11,2023-04-10,10
LOAN004323,CUST01808,Salary Advance,44041,12,0.05,2019-04-27,2
LOAN004324,CUST00459,Green Energy Loan,235931,28,0.07,2020-04-30,12
LOAN004325,CUST02207,Seasonal Advance,168842,21,0.08,2020-09-11,9
LOAN004326,CUST00874,Avocado Loan,303937,37,0.11,2023-02-25,13
LOAN004327,CUST03119,Additional Loan,400500,33,0.1,2023-02-08,8
LOAN004328,CUST01560,Maziwa Loan,28061,31,0.09,2020-03-04,3
LOAN004329,CUST00110,Boda Boda Loan,701506,30,0.12,2023-12-10,11
LOAN004330,CUST03024,Avocado Loan,465995,22,0.11,2019-04-22,9
LOAN004331,CUST04583,Additional Loan,427430,19,0.1,2021-08-27,9
LOAN004332,CUST04313,Jipange Loan,234625,13,0.08,2021-02-05,14
LOAN004333,CUST04776,Green Energy Loan,446902,13,0.07,2021-02-26,10
LOAN004334,CUST03411,Avocado Loan,506607,25,0.11,2024-09-24,10
LOAN004335,CUST01738,Green Energy Loan,41521,20,0.07,2021-01-27,1
LOAN004336,CUST03587,Seasonal Advance,131965,21,0.08,2020-02-02,13
LOAN004337,CUST02860,Avocado Loan,815673,32,0.11,2019-04-08,13
LOAN004338,CUST01278,Boda Boda Loan,593748,42,0.12,2019-03-28,14
LOAN004339,CUST04997,Avocado Loan,322102,55,0.11,2020-11-12,7
LOAN004340,CUST03312,Normal Loan,916538,41,0.1,2019-05-01,13
LOAN004341,CUST04337,Jipange Loan,98320,9,0.08,2019-05-15,3
LOAN004342,CUST04298,Boda Boda Loan,603274,16,0.12,2019-01-11,13
LOAN004343,CUST03207,Special Advance,23156,4,0.06,2021-01-04,3
LOAN004344,CUST01502,Seasonal Advance,399930,21,0.08,2022-09-05,11
LOAN004345,CUST03545,Avocado Loan,741393,60,0.11,2019-01-16,10
LOAN004346,CUST00426,Boda Boda Loan,233368,20,0.12,2022-04-02,10
LOAN004347,CUST02402,Maziwa Loan,396838,34,0.09,2021-07-13,7
LOAN004348,CUST04463,Seasonal Advance,440324,8,0.08,2022-12-08,9
LOAN004349,CUST02133,Special Advance,60087,8,0.06,2020-03-21,3
LOAN004350,CUST04433,Normal Loan,313452,20,0.1,2021-08-07,11
LOAN004351,CUST02069,Jipange Loan,478323,23,0.08,2023-12-16,7
LOAN004352,CUST03765,Emergency Loan,33684,9,0.09,2024-06-29,2
LOAN004353,CUST04752,Seasonal Advance,269157,23,0.08,2021-11-10,11
LOAN004354,CUST01710,Emergency Loan,16030,12,0.09,2023-12-25,3
LOAN004355,CUST04588,Maziwa Loan,42235,15,0.09,2023-12-20,1
LOAN004356,CUST01161,Maziwa Loan,351598,19,0.09,2024-01-03,14
LOAN004357,CUST00023,Emergency Loan,45981,9,0.09,2021-10-19,3
LOAN004358,CUST02189,Seasonal Advance,222354,9,0.08,2020-07-25,11
LOAN004359,CUST03110,Maziwa Loan,475093,26,0.09,2020-08-13,11
LOAN004360,CUST03234,Emergency Loan,24432,10,0.09,2021-06-06,1
LOAN004361,CUST04318,Additional Loan,216997,16,0.1,2022-08-13,9
LOAN004362,CUST01952,Green Energy Loan,65968,36,0.07,2019-08-06,1
LOAN004363,CUST02068,Boda Boda Loan,138209,19,0.12,2019-04-29,7
LOAN004364,CUST03129,Maziwa Loan,118034,19,0.09,2019-10-17,10
LOAN004365,CUST01965,Emergency Loan,42992,7,0.09,2022-07-04,2
LOAN004366,CUST02726,Special Advance,73663,5,0.06,2020-06-05,2
LOAN004367,CUST02165,Jipange Loan,365682,16,0.08,2019-04-29,14
LOAN004368,CUST04417,Boda Boda Loan,500174,46,0.12,2023-05-21,7
LOAN004369,CUST02316,Jipange Loan,415522,20,0.08,2020-07-24,11
LOAN004370,CUST00436,Seasonal Advance,179475,14,0.08,2022-04-30,13
LOAN004371,CUST01075,Boda Boda Loan,313086,39,0.12,2022-02-27,13
LOAN004372,CUST00982,Seasonal Advance,177853,11,0.08,2019-09-18,14
LOAN004373,CUST02368,Avocado Loan,304341,16,0.11,2019-05-12,14
LOAN004374,CUST03603,Maziwa Loan,364471,33,0.09,2022-03-22,12
LOAN004375,CUST00732,Jipange Loan,493369,28,0.08,2023-07-20,13
LOAN004376,CUST01362,Special Advance,57149,3,0.06,2024-08-30,1
LOAN004377,CUST00745,Avocado Loan,535334,48,0.11,2022-04-03,14
LOAN004378,CUST03354,Jipange Loan,481067,10,0.08,2020-10-22,8
LOAN004379,CUST04971,Additional Loan,49564,16,0.1,2019-02-02,3
LOAN004380,CUST04920,Seasonal Advance,335627,11,0.08,2020-05-21,13
LOAN004381,CUST04816,Special Advance,66042,8,0.06,2019-04-30,1
LOAN004382,CUST03572,Green Energy Loan,298685,10,0.07,2021-04-29,9
LOAN004383,CUST04041,Special Advance,62934,3,0.06,2020-11-23,3
LOAN004384,CUST02225,Green Energy Loan,406075,26,0.07,2023-05-22,8
LOAN004385,CUST01454,Salary Advance,53882,6,0.05,2022-07-13,3
LOAN004386,CUST02643,Green Energy Loan,382546,18,0.07,2022-09-20,14
LOAN004387,CUST01847,Green Energy Loan,241317,12,0.07,2024-07-21,7
LOAN004388,CUST01766,Avocado Loan,609183,58,0.11,2020-03-07,9
LOAN004389,CUST04364,Green Energy Loan,265400,6,0.07,2019-04-12,14
LOAN004390,CUST04813,Salary Advance,14426,10,0.05,2023-01-14,1
LOAN004391,CUST00447,Maziwa Loan,295195,11,0.09,2020-02-28,11
LOAN004392,CUST02723,Avocado Loan,59240,43,0.11,2019-10-29,2
LOAN004393,CUST00240,Special Advance,48275,9,0.06,2023-08-14,3
LOAN004394,CUST00117,Boda Boda Loan,265370,33,0.12,2019-12-25,11
LOAN004395,CUST03658,Special Advance,82829,3,0.06,2023-09-22,1
LOAN004396,CUST02314,Additional Loan,417548,11,0.1,2020-07-28,7
LOAN004397,CUST02029,Jipange Loan,446700,26,0.08,2022-05-12,11
LOAN004398,CUST04752,Seasonal Advance,179670,24,0.08,2021-10-09,12
LOAN004399,CUST02040,Salary Advance,41552,11,0.05,2024-11-03,1
LOAN004400,CUST03645,Green Energy Loan,218554,30,0.07,2023-02-12,11
LOAN004401,CUST00587,Additional Loan,339031,32,0.1,2020-06-11,8
LOAN004402,CUST01881,Salary Advance,20845,9,0.05,2022-03-25,2
LOAN004403,CUST02633,Jipange Loan,494545,10,0.08,2023-04-01,12
LOAN004404,CUST02131,Additional Loan,490296,14,0.1,2022-07-05,7
LOAN004405,CUST04479,Avocado Loan,570746,13,0.11,2024-03-02,10
LOAN004406,CUST04180,Salary Advance,78815,7,0.05,2020-12-31,1
LOAN004407,CUST00984,Jipange Loan,428956,36,0.08,2021-11-10,9
LOAN004408,CUST00513,Special Advance,90018,11,0.06,2019-11-12,3
LOAN004409,CUST01589,Emergency Loan,11890,5,0.09,2019-05-06,3
LOAN004410,CUST03581,Emergency Loan,22192,5,0.09,2020-05-10,2
LOAN004411,CUST02220,Additional Loan,396004,13,0.1,2023-06-11,13
LOAN004412,CUST04587,Green Energy Loan,281935,33,0.07,2024-07-21,9
LOAN004413,CUST04362,Green Energy Loan,177740,16,0.07,2021-04-15,12
LOAN004414,CUST03080,Special Advance,12907,6,0.06,2020-12-28,1
LOAN004415,CUST02193,Normal Loan,177073,26,0.1,2023-01-07,10
LOAN004416,CUST01734,Boda Boda Loan,452522,25,0.12,2024-08-05,12
LOAN004417,CUST04733,Jipange Loan,407188,7,0.08,2019-03-12,13
LOAN004418,CUST02911,Normal Loan,311263,33,0.1,2021-01-27,13
LOAN004419,CUST01445,Salary Advance,37462,8,0.05,2019-04-17,2
LOAN004420,CUST02116,Avocado Loan,277713,19,0.11,2021-02-13,12
LOAN004421,CUST01278,Normal Loan,707701,59,0.1,2022-02-04,14
LOAN004422,CUST02823,Emergency Loan,27493,5,0.09,2022-06-28,3
LOAN004423,CUST01380,Additional Loan,266041,15,0.1,2019-03-22,8
LOAN004424,CUST01763,Additional Loan,119031,25,0.1,2019-09-19,10
LOAN004425,CUST04878,Boda Boda Loan,481498,16,0.12,2022-09-15,9
LOAN004426,CUST00250,Emergency Loan,45808,10,0.09,2024-04-03,3
LOAN004427,CUST00885,Boda Boda Loan,882035,50,0.12,2024-11-15,9
LOAN004428,CUST03913,Maziwa Loan,239929,26,0.09,2024-12-14,11
LOAN004429,CUST04480,Boda Boda Loan,231551,38,0.12,2022-11-03,8
LOAN004430,CUST01289,Emergency Loan,33698,10,0.09,2020-07-01,2
LOAN004431,CUST00537,Seasonal Advance,327266,24,0.08,2020-11-12,13
LOAN004432,CUST01640,Boda Boda Loan,896402,45,0.12,2021-04-16,7
LOAN004433,CUST02618,Normal Loan,350464,48,0.1,2023-11-21,12
LOAN004434,CUST02072,Emergency Loan,46559,10,0.09,2020-07-28,2
LOAN004435,CUST03656,Boda Boda Loan,444317,41,0.12,2022-10-07,7
LOAN004436,CUST03444,Special Advance,48002,11,0.06,2024-07-24,2
LOAN004437,CUST03677,Salary Advance,95724,9,0.05,2020-01-04,2
LOAN004438,CUST03199,Special Advance,48613,6,0.06,2019-10-29,2
LOAN004439,CUST02066,Additional Loan,493023,36,0.1,2021-04-16,11
LOAN004440,CUST00474,Special Advance,27270,9,0.06,2024-08-08,1
LOAN004441,CUST04006,Seasonal Advance,313250,15,0.08,2024-02-15,13
LOAN004442,CUST02044,Maziwa Loan,25527,28,0.09,2023-12-06,3
LOAN004443,CUST04320,Salary Advance,29841,8,0.05,2019-10-04,3
LOAN004444,CUST00133,Boda Boda Loan,490163,34,0.12,2022-03-26,8
LOAN004445,CUST02896,Jipange Loan,128556,28,0.08,2020-09-06,10
LOAN004446,CUST04478,Green Energy Loan,328393,18,0.07,2024-12-13,13
LOAN004447,CUST00231,Maziwa Loan,284938,6,0.09,2019-05-28,9
LOAN004448,CUST00705,Additional Loan,491962,6,0.1,2020-03-11,13
LOAN004449,CUST00901,Green Energy Loan,182593,23,0.07,2019-04-22,9
LOAN004450,CUST01347,Additional Loan,176874,12,0.1,2023-11-28,9
LOAN004451,CUST02029,Seasonal Advance,94824,20,0.08,2021-08-11,2
LOAN004452,CUST04148,Special Advance,35872,11,0.06,2019-04-04,1
LOAN004453,CUST02385,Seasonal Advance,432366,15,0.08,2020-10-29,8
LOAN004454,CUST00993,Seasonal Advance,142611,8,0.08,2022-05-28,11
LOAN004455,CUST04691,Additional Loan,135956,7,0.1,2024-10-02,14
LOAN004456,CUST01924,Special Advance,72373,3,0.06,2023-05-31,3
LOAN004457,CUST04429,Special Advance,65001,11,0.06,2023-03-01,2
LOAN004458,CUST01459,Additional Loan,146821,12,0.1,2024-06-24,13
LOAN004459,CUST01778,Additional Loan,228810,13,0.1,2024-11-08,8
LOAN004460,CUST00683,Boda Boda Loan,767145,42,0.12,2019-07-29,10
LOAN004461,CUST04570,Boda Boda Loan,724049,52,0.12,2020-11-26,8
LOAN004462,CUST01531,Boda Boda Loan,687231,60,0.12,2023-06-30,9
LOAN004463,CUST02851,Emergency Loan,16734,11,0.09,2023-04-08,3
LOAN004464,CUST04816,Boda Boda Loan,160702,13,0.12,2020-10-27,10
LOAN004465,CUST00825,Additional Loan,483618,22,0.1,2019-02-22,7
LOAN004466,CUST01845,Seasonal Advance,82341,6,0.08,2023-02-23,3
LOAN004467,CUST02846,Emergency Loan,16903,6,0.09,2023-03-23,1
LOAN004468,CUST04475,Normal Loan,983719,46,0.1,2020-12-18,13
LOAN004469,CUST00764,Emergency Loan,12920,11,0.09,2023-11-11,1
LOAN004470,CUST02769,Boda Boda Loan,77798,30,0.12,2023-02-07,2
LOAN004471,CUST04454,Special Advance,46579,9,0.06,2024-11-19,2
LOAN004472,CUST02297,Normal Loan,297509,22,0.1,2023-09-18,10
LOAN004473,CUST02951,Additional Loan,147183,13,0.1,2021-12-17,9
LOAN004474,CUST01173,Additional Loan,65926,29,0.1,2022-02-19,2
LOAN004475,CUST04766,Boda Boda Loan,601905,14,0.12,2024-09-18,9
LOAN004476,CUST03557,Seasonal Advance,58099,13,0.08,2019-10-18,3
LOAN004477,CUST04886,Boda Boda Loan,450176,54,0.12,2020-12-07,13
LOAN004478,CUST02991,Jipange Loan,351103,31,0.08,2021-03-09,11
LOAN004479,CUST04383,Normal Loan,532940,12,0.1,2021-04-23,10
LOAN004480,CUST00778,Avocado Loan,394977,35,0.11,2023-04-21,11
LOAN004481,CUST00734,Boda Boda Loan,869133,40,0.12,2021-09-03,13
LOAN004482,CUST03049,Emergency Loan,36668,3,0.09,2023-07-07,2
LOAN004483,CUST04999,Emergency Loan,10121,5,0.09,2021-08-17,2
LOAN004484,CUST03475,Seasonal Advance,215460,13,0.08,2019-11-08,12
LOAN004485,CUST04682,Green Energy Loan,460737,30,0.07,2022-09-14,14
LOAN004486,CUST03239,Salary Advance,97142,12,0.05,2022-06-22,1
LOAN004487,CUST03683,Boda Boda Loan,980948,35,0.12,2023-12-21,11
LOAN004488,CUST01404,Boda Boda Loan,545956,33,0.12,2024-06-27,10
LOAN004489,CUST04877,Seasonal Advance,419928,22,0.08,2021-08-27,11
LOAN004490,CUST00465,Green Energy Loan,220386,12,0.07,2024-07-05,14
LOAN004491,CUST00762,Jipange Loan,290680,7,0.08,2023-01-24,14
LOAN004492,CUST04753,Special Advance,99997,6,0.06,2019-07-19,2
LOAN004493,CUST01713,Additional Loan,327444,17,0.1,2023-11-06,14
LOAN004494,CUST02119,Maziwa Loan,100609,33,0.09,2022-03-21,8
LOAN004495,CUST01916,Seasonal Advance,330143,10,0.08,2024-08-22,8
LOAN004496,CUST01314,Green Energy Loan,164337,28,0.07,2023-01-28,8
LOAN004497,CUST04317,Normal Loan,214125,49,0.1,2022-05-22,7
LOAN004498,CUST01694,Avocado Loan,163584,60,0.11,2019-12-04,14
LOAN004499,CUST02666,Seasonal Advance,274041,20,0.08,2023-02-08,9
LOAN004500,CUST01535,Normal Loan,690029,39,0.1,2022-11-12,12
LOAN004501,CUST00541,Special Advance,89427,7,0.06,2020-04-03,2
LOAN004502,CUST03248,Special Advance,84198,5,0.06,2023-10-05,1
LOAN004503,CUST00392,Seasonal Advance,186460,7,0.08,2022-02-15,11
LOAN004504,CUST02140,Seasonal Advance,57171,20,0.08,2022-01-24,2
LOAN004505,CUST02635,Boda Boda Loan,964017,33,0.12,2020-02-17,13
LOAN004506,CUST00338,Green Energy Loan,453396,13,0.07,2023-02-03,11
LOAN004507,CUST03951,Salary Advance,46901,10,0.05,2021-02-08,1
LOAN004508,CUST04080,Seasonal Advance,461483,17,0.08,2020-09-12,10
LOAN004509,CUST02109,Green Energy Loan,68606,14,0.07,2023-01-26,1
LOAN004510,CUST02472,Maziwa Loan,253503,16,0.09,2019-03-14,7
LOAN004511,CUST00273,Seasonal Advance,376823,13,0.08,2023-11-25,14
LOAN004512,CUST03599,Emergency Loan,46791,4,0.09,2024-05-10,2
LOAN004513,CUST01383,Normal Loan,913519,32,0.1,2019-06-16,14
LOAN004514,CUST01363,Normal Loan,81792,40,0.1,2024-03-18,2
LOAN004515,CUST04960,Emergency Loan,35544,5,0.09,2024-07-14,2
LOAN004516,CUST02886,Additional Loan,470803,21,0.1,2019-07-14,14
LOAN004517,CUST04434,Avocado Loan,752407,27,0.11,2022-09-29,13
LOAN004518,CUST03561,Jipange Loan,193263,24,0.08,2024-05-13,7
LOAN004519,CUST03703,Salary Advance,44294,4,0.05,2024-07-25,1
LOAN004520,CUST04378,Jipange Loan,223537,12,0.08,2023-08-23,11
LOAN004521,CUST01422,Salary Advance,32280,9,0.05,2023-11-19,2
LOAN004522,CUST03318,Special Advance,55079,11,0.06,2021-02-17,1
LOAN004523,CUST01961,Additional Loan,113579,21,0.1,2024-11-10,8
LOAN004524,CUST03206,Special Advance,32376,11,0.06,2021-06-18,2
LOAN004525,CUST01251,Maziwa Loan,495722,7,0.09,2021-11-20,9
LOAN004526,CUST02020,Seasonal Advance,203223,23,0.08,2020-09-01,11
LOAN004527,CUST01164,Emergency Loan,20692,9,0.09,2023-06-19,2
LOAN004528,CUST02040,Emergency Loan,41226,5,0.09,2022-09-13,1
LOAN004529,CUST01784,Emergency Loan,10108,4,0.09,2021-08-07,2
LOAN004530,CUST01379,Boda Boda Loan,146647,44,0.12,2023-07-26,10
LOAN004531,CUST04745,Avocado Loan,102336,41,0.11,2021-05-01,12
LOAN004532,CUST00955,Special Advance,67949,11,0.06,2021-04-01,2
LOAN004533,CUST02412,Avocado Loan,885205,16,0.11,2019-11-03,12
LOAN004534,CUST03494,Avocado Loan,603869,45,0.11,2022-09-30,14
LOAN004535,CUST03078,Additional Loan,34486,23,0.1,2023-07-01,3
LOAN004536,CUST04952,Special Advance,63785,8,0.06,2021-07-16,1
LOAN004537,CUST04682,Avocado Loan,774521,28,0.11,2020-12-05,14
LOAN004538,CUST03899,Normal Loan,834574,38,0.1,2021-08-28,7
LOAN004539,CUST03797,Boda Boda Loan,308024,52,0.12,2024-09-20,10
LOAN004540,CUST02754,Special Advance,83897,3,0.06,2023-05-12,2
